Rk,Player,Pos,Pos_No,Age,Tm,G,GS,Seed,Win %,1.MP,1.FG,1.FGA,1.3P,1.3PA,1.2P,1.2PA,1.FT,1.FTA,1.ORB,1.DRB,1.TRB,1.AST,1.STL,1.BLK,1.TOV,1.PF,1.PTS,2.MP,2.FG,2.FGA,2.FG%,2.3P,2.3PA,2.3P%,2.2P,2.2PA,2.2P%,2.eFG%,2.FT,2.FTA,2.FT%,2.ORB,2.DRB,2.TRB,2.AST,2.STL,2.BLK,2.TOV,2.PF,2.PTS,3.FG,3.FGA,3.3P,3.3PA,3.2P,3.2PA,3.FT,3.FTA,3.ORB,3.DRB,3.TRB,3.AST,3.STL,3.BLK,3.TOV,3.PF,3.PTS,4.FG,4.FGA,4.3P,4.3PA,4.2P,4.2PA,4.FT,4.FTA,4.ORB,4.DRB,4.TRB,4.AST,4.STL,4.BLK,4.TOV,4.PF,4.PTS,5.ORtg,5.DRtg,5.PER,5.TS%,5.3PAr,5.FTr,5.ORB%,5.DRB%,5.TRB%,5.AST%,5.STL%,5.BLK%,5.TOV%,5.USG%,5.OWS,5.DWS,5.WS,5.WS/48,5.OBPM,5.DBPM,5.BPM,5.VORP,6.FG+,6.2P+,6.3P+,6.eFG+,6.FT+,6.TS+,6.FTr+,6.3PAr+,6.FG Add,6.TS Add
164,Shai Gilgeous-Alexander,PG,1,24,OKC,68,68,20,0.487804878,2416,704,1381,58,168,646,1213,669,739,59,270,329,371,112,65,192,192,2135,35.5,10.4,20.3,0.51,0.9,2.5,0.345,9.5,17.8,0.533,0.531,9.8,10.9,0.905,0.9,4,4.8,5.5,1.6,1,2.8,2.8,31.4,10.5,20.6,0.9,2.5,9.6,18.1,10,11,0.9,4,4.9,5.5,1.7,1,2.9,2.9,31.8,13.8,27.2,1.1,3.3,12.7,23.8,13.2,14.5,1.2,5.3,6.5,7.3,2.2,1.3,3.8,3.8,42,125,113,27.2,0.626,0.122,0.535,2.6,12.2,7.3,25.7,2.2,2.5,10.1,32.8,8.4,3,11.4,0.226,5.8,1.5,7.3,5.6,107,97,96,97,116,108,201,31,-40,151.6
186,Tyrese Haliburton,PG,1,22,IND,56,56,23,0.426829268,1883,412,841,161,402,251,439,175,201,33,172,205,585,91,25,141,69,1160,33.6,7.4,15,0.49,2.9,7.2,0.4,4.5,7.8,0.572,0.586,3.1,3.6,0.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7,7.9,16.1,3.1,7.7,4.8,8.4,3.3,3.8,0.6,3.3,3.9,11.2,1.7,0.5,2.7,1.3,22.2,10.4,21.2,4.1,10.1,6.3,11.1,4.4,5.1,0.8,4.3,5.2,14.7,2.3,0.6,3.6,1.7,29.2,129,118,23.6,0.624,0.478,0.239,1.9,10.1,6,47.6,2.3,1.1,13.2,23.8,6.4,1.2,7.6,0.195,7,0.2,7.2,4.4,103,104,111,107,111,107,90,123,67.9,79.5
190,James Harden,PG,1,33,PHI,58,58,3,0.658536585,2135,371,842,161,418,210,424,313,361,40,314,354,618,71,31,195,112,1216,36.8,6.4,14.5,0.441,2.8,7.2,0.385,3.6,7.3,0.495,0.536,5.4,6.2,0.867,0.7,5.4,6.1,10.7,1.2,0.5,3.4,1.9,21,6.3,14.2,2.7,7,3.5,7.1,5.3,6.1,0.7,5.3,6,10.4,1.2,0.5,3.3,1.9,20.5,8.6,19.5,3.7,9.7,4.9,9.8,7.3,8.4,0.9,7.3,8.2,14.3,1.6,0.7,4.5,2.6,28.2,123,113,21.6,0.607,0.496,0.429,2.3,17.1,9.8,43.3,1.6,1.4,16.3,25,5.8,2.6,8.4,0.188,5.1,0.3,5.4,4,93,90,107,98,111,105,161,128,-15.2,52.5
230,Kyrie Irving,PG,1,30,TOT,60,60,15,0.5,2241,594,1203,188,496,406,707,247,273,59,245,304,331,66,45,128,165,1623,37.4,9.9,20.1,0.494,3.1,8.3,0.379,6.8,11.8,0.574,0.572,4.1,4.6,0.905,1,4.1,5.1,5.5,1.1,0.8,2.1,2.8,27.1,9.5,19.3,3,8,6.5,11.4,4,4.4,0.9,3.9,4.9,5.3,1.1,0.7,2.1,2.7,26.1,13,26.4,4.1,10.9,8.9,15.5,5.4,6,1.3,5.4,6.7,7.3,1.4,1,2.8,3.6,35.6,121,116,22.4,0.613,0.412,0.227,3,12.3,7.7,25.4,1.4,1.7,8.8,28.9,5.4,2,7.4,0.159,4.8,-0.7,4.1,3.4,104,105,105,105,116,106,85,106,64.1,84.9
249,Nikola Jokić,C,5,27,DEN,69,69,4,0.646341463,2323,646,1022,57,149,589,873,341,415,167,650,817,678,87,47,247,174,1690,33.7,9.4,14.8,0.632,0.8,2.2,0.383,8.5,12.7,0.675,0.66,4.9,6,0.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5,10,15.8,0.9,2.3,9.1,13.5,5.3,6.4,2.6,10.1,12.7,10.5,1.3,0.7,3.8,2.7,26.2,13.6,21.5,1.2,3.1,12.4,18.4,7.2,8.7,3.5,13.7,17.2,14.3,1.8,1,5.2,3.7,35.6,134,110,31.5,0.701,0.146,0.406,8.5,31.3,20.2,46.6,1.8,1.8,17,27.2,11.2,3.8,14.9,0.308,8.5,4.5,13,8.8,133,123,106,121,105,121,152,38,234.5,289.6
283,Zach LaVine,SG,2,27,CHI,77,77,19,0.487804878,2768,673,1388,204,544,469,844,363,428,42,303,345,327,69,18,194,159,1913,35.9,8.7,18,0.485,2.6,7.1,0.375,6.1,11,0.556,0.558,4.7,5.6,0.848,0.5,3.9,4.5,4.2,0.9,0.2,2.5,2.1,24.8,8.8,18.1,2.7,7.1,6.1,11,4.7,5.6,0.5,3.9,4.5,4.3,0.9,0.2,2.5,2.1,24.9,11.8,24.4,3.6,9.6,8.3,14.9,6.4,7.5,0.7,5.3,6.1,5.8,1.2,0.3,3.4,2.8,33.7,116,115,19,0.607,0.392,0.308,1.7,12.2,7.1,18.7,1.2,0.6,11,28.3,4.2,2.9,7.1,0.123,2.7,-0.7,1.9,2.7,102,101,104,102,108,104,116,101,36.4,80.5
288,Kawhi Leonard,SF,3,31,LAC,52,50,12,0.536585366,1748,446,871,104,250,342,621,243,279,57,281,338,204,72,28,88,84,1239,33.6,8.6,16.8,0.512,2,4.8,0.416,6.6,11.9,0.551,0.572,4.7,5.4,0.871,1.1,5.4,6.5,3.9,1.4,0.5,1.7,1.6,23.8,9.2,17.9,2.1,5.1,7,12.8,5,5.7,1.2,5.8,7,4.2,1.5,0.6,1.8,1.7,25.5,12.5,24.4,2.9,7,9.6,17.4,6.8,7.8,1.6,7.9,9.5,5.7,2,0.8,2.5,2.4,34.7,125,113,23.9,0.623,0.287,0.32,3.7,17.8,10.8,19.6,2,1.4,8.1,27,4.9,2.2,7.1,0.194,5.1,0.9,6.1,3.5,108,101,115,105,111,107,120,74,46.2,83.7
292,Damian Lillard,PG,1,32,POR,58,58,26,0.402439024,2107,556,1202,244,658,312,544,510,558,44,233,277,425,50,18,191,109,1866,36.3,9.6,20.7,0.463,4.2,11.3,0.371,5.4,9.4,0.574,0.564,8.8,9.6,0.914,0.8,4,4.8,7.3,0.9,0.3,3.3,1.9,32.2,9.5,20.5,4.2,11.2,5.3,9.3,8.7,9.5,0.8,4,4.7,7.3,0.9,0.3,3.3,1.9,31.9,12.9,27.8,5.6,15.2,7.2,12.6,11.8,12.9,1,5.4,6.4,9.8,1.2,0.4,4.4,2.5,43.1,126,121,26.7,0.645,0.547,0.464,2.4,12.8,7.6,35,1.2,0.8,11.7,33.8,8.2,0.8,9,0.205,8.3,-1.2,7.1,4.9,97,105,103,103,117,111,174,141,45.2,183.2
307,Lauri Markkanen,SF,3,25,UTA,66,66,22,0.451219512,2273,571,1145,200,511,371,634,349,399,130,440,570,123,42,38,127,137,1691,34.4,8.7,17.3,0.499,3,7.7,0.391,5.6,9.6,0.585,0.586,5.3,6,0.875,2,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.6,9,18.1,3.2,8.1,5.9,10,5.5,6.3,2.1,7,9,1.9,0.7,0.6,2,2.2,26.8,12,24.1,4.2,10.7,7.8,13.3,7.3,8.4,2.7,9.2,12,2.6,0.9,0.8,2.7,2.9,35.5,125,116,22.1,0.64,0.446,0.348,6.3,20.7,13.6,8.6,0.9,1.4,8.8,26.6,6.3,1.9,8.2,0.173,4.9,-1,3.8,3.3,105,107,109,107,112,110,131,115,93.4,155.8
338,Donovan Mitchell,SG,2,26,CLE,68,68,5,0.62195122,2432,679,1402,245,635,434,767,319,368,63,226,289,301,99,27,180,168,1922,35.8,10,20.6,0.484,3.6,9.3,0.386,6.4,11.3,0.566,0.572,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,10.1,20.8,3.6,9.4,6.4,11.4,4.7,5.4,0.9,3.3,4.3,4.5,1.5,0.4,2.7,2.5,28.5,14,28.9,5.1,13.1,9,15.8,6.6,7.6,1.3,4.7,6,6.2,2,0.6,3.7,3.5,39.6,118,111,22.9,0.614,0.453,0.262,3.1,10.9,7,21.4,2,1,10.3,32.1,5.4,3.5,8.9,0.176,5.6,0.6,6.3,5,102,103,107,105,111,106,99,117,74.1,103.9
393,Kristaps Porziņģis,C,5,27,WAS,65,65,24,0.426829268,2120,507,1018,137,356,370,662,354,416,114,432,546,174,58,100,137,196,1505,32.6,7.8,15.7,0.498,2.1,5.5,0.385,5.7,10.2,0.559,0.565,5.4,6.4,0.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3,23.2,8.6,17.3,2.3,6,6.3,11.2,6,7.1,1.9,7.3,9.3,3,1,1.7,2.3,3.3,25.6,11.6,23.4,3.1,8.2,8.5,15.2,8.1,9.6,2.6,9.9,12.5,4,1.3,2.3,3.1,4.5,34.6,121,113,23.1,0.627,0.35,0.409,6.2,21.8,14.3,12.9,1.3,4,10.2,27.4,5,2.7,7.7,0.174,3.8,0.5,4.3,3.4,105,102,107,104,109,108,153,90,40.9,108.8
405,Julius Randle,PF,4,28,NYK,77,77,8,0.573170732,2737,658,1432,218,636,440,796,402,531,141,626,767,316,49,21,216,233,1936,35.5,8.5,18.6,0.459,2.8,8.3,0.343,5.7,10.3,0.553,0.536,5.2,6.9,0.757,1.8,8.1,10,4.1,0.6,0.3,2.8,3,25.1,8.7,18.8,2.9,8.4,5.8,10.5,5.3,7,1.9,8.2,10.1,4.2,0.6,0.3,2.8,3.1,25.5,11.9,25.9,3.9,11.5,7.9,14.4,7.3,9.6,2.5,11.3,13.9,5.7,0.9,0.4,3.9,4.2,35,117,114,20.3,0.581,0.444,0.371,5.6,25.2,15.4,18.5,0.9,0.7,11.5,29.5,5,3.1,8.1,0.142,3.9,-0.2,3.7,3.9,97,101,95,98,97,100,139,115,-27.6,-0.3
442,Pascal Siakam,C,5,28,TOR,71,71,18,0.5,2652,630,1313,93,287,537,1026,367,474,131,425,556,415,65,36,169,228,1720,37.4,8.9,18.5,0.48,1.3,4,0.324,7.6,14.5,0.523,0.515,5.2,6.7,0.774,1.8,6,7.8,5.8,0.9,0.5,2.4,3.2,24.2,8.6,17.8,1.3,3.9,7.3,13.9,5,6.4,1.8,5.8,7.5,5.6,0.9,0.5,2.3,3.1,23.3,11.7,24.5,1.7,5.4,10,19.1,6.8,8.8,2.4,7.9,10.4,7.7,1.2,0.7,3.2,4.3,32.1,118,115,20.3,0.565,0.219,0.361,5.2,19.6,11.9,24.9,1.2,1.3,10,27.2,5.2,2.6,7.8,0.141,3.3,-0.1,3.1,3.5,101,96,90,94,99,97,135,56,-78.8,-48.8
465,Jayson Tatum,PF,4,24,BOS,74,74,2,0.695121951,2732,727,1559,240,686,487,873,531,622,78,571,649,342,78,51,213,160,2225,36.9,9.8,21.1,0.466,3.2,9.3,0.35,6.6,11.8,0.558,0.543,7.2,8.4,0.854,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,30.1,9.6,20.5,3.2,9,6.4,11.5,7,8.2,1,7.5,8.6,4.5,1,0.7,2.8,2.1,29.3,13,27.8,4.3,12.2,8.7,15.6,9.5,11.1,1.4,10.2,11.6,6.1,1.4,0.9,3.8,2.9,39.7,118,110,23.7,0.607,0.44,0.399,3.2,22.5,13,20.9,1.4,1.6,10.4,32.7,6.2,4.3,10.5,0.185,4.8,0.7,5.5,5.1,98,102,97,100,109,104,150,114,-6.1,94.5
536,Trae Young,PG,1,24,ATL,73,73,17,0.5,2541,597,1390,154,460,443,930,566,639,56,161,217,741,80,9,300,104,1914,34.8,8.2,19,0.429,2.1,6.3,0.335,6.1,12.7,0.476,0.485,7.8,8.8,0.886,0.8,2.2,3,10.2,1.1,0.1,4.1,1.4,26.2,8.5,19.7,2.2,6.5,6.3,13.2,8,9.1,0.8,2.3,3.1,10.5,1.1,0.1,4.3,1.5,27.1,11.2,26.1,2.9,8.6,8.3,17.4,10.6,12,1.1,3,4.1,13.9,1.5,0.2,5.6,2,35.9,116,119,22,0.573,0.331,0.46,2.4,7,4.7,42.5,1.5,0.3,15.2,32.6,5.3,1.4,6.7,0.126,5.3,-2,3.3,3.4,90,87,93,89,113,99,173,85,-167.8,-28.7
