,1,2,3,4,5,6,7,8,9,10
1,1.0,7.821545407778593e-17,-3.487186522749999e-17,1.3230276696355971e-17,-1.793207233540934e-16,2.5044111071136087e-16,-1.0722776045164283e-16,3.864964455023117e-16,-3.122969159561083e-16,1.2817135677014207e-16
2,7.821545407778593e-17,1.0,8.717263189871739e-17,9.11701918794598e-16,1.9660191030042605e-16,-5.870660593234564e-16,-5.317252176087501e-17,-2.2380380765849237e-17,-4.0991116068814504e-16,-2.634550648243799e-16
3,-3.487186522749999e-17,8.717263189871739e-17,1.0,-3.587293846669002e-16,7.507217117365043e-17,-2.8483092694780123e-16,2.3397580117863074e-16,-4.864802917719221e-17,-2.56506973882718e-16,-2.983825379513861e-16
4,1.3230276696355971e-17,9.11701918794598e-16,-3.587293846669002e-16,1.0,-2.692697867946829e-16,-5.758133045560732e-16,-2.3347622753609886e-16,3.96702808480482e-17,-1.0130218871138023e-17,-2.2262042771580846e-16
5,-1.793207233540934e-16,1.9660191030042605e-16,7.507217117365043e-17,-2.692697867946829e-16,1.0,-4.475504541462302e-16,3.727303766677771e-16,-2.1426501313460085e-16,2.9575529510949494e-16,4.1881322882221275e-17
6,2.5044111071136087e-16,-5.870660593234564e-16,-2.8483092694780123e-16,-5.758133045560732e-16,-4.475504541462302e-16,1.0,9.278336221648567e-17,-8.486169831580792e-17,3.295689816630183e-16,4.661460458420524e-16
7,-1.0722776045164283e-16,-5.317252176087501e-17,2.3397580117863074e-16,-2.3347622753609886e-16,3.727303766677771e-16,9.278336221648567e-17,1.0,-1.2597344283792159e-17,-1.0973791647894114e-16,-5.514058632903914e-16
8,3.864964455023117e-16,-2.2380380765849237e-17,-4.864802917719221e-17,3.96702808480482e-17,-2.1426501313460085e-16,-8.486169831580792e-17,-1.2597344283792159e-17,1.0,-2.1220491484927773e-16,1.5028586197528242e-17
9,-3.122969159561083e-16,-4.0991116068814504e-16,-2.56506973882718e-16,-1.0130218871138023e-17,2.9575529510949494e-16,3.295689816630183e-16,-1.0973791647894114e-16,-2.1220491484927773e-16,1.0,5.774054490726599e-16
10,1.2817135677014207e-16,-2.634550648243799e-16,-2.983825379513861e-16,-2.2262042771580846e-16,4.1881322882221275e-17,4.661460458420524e-16,-5.514058632903914e-16,1.5028586197528242e-17,5.774054490726599e-16,1.0
