,Player,Pos,Pos_No,Age,Tm,G,GS,Seed,Win %,1.MP,1.FG,1.FGA,1.3P,1.3PA,1.2P,1.2PA,1.FT,1.FTA,1.ORB,1.DRB,1.TRB,1.AST,1.STL,1.BLK,1.TOV,1.PF,1.PTS,2.MP,2.FG,2.FGA,2.FG%,2.3P,2.3PA,2.3P%,2.2P,2.2PA,2.2P%,2.eFG%,2.FT,2.FTA,2.FT%,2.ORB,2.DRB,2.TRB,2.AST,2.STL,2.BLK,2.TOV,2.PF,2.PTS,3.FG,3.FGA,3.3P,3.3PA,3.2P,3.2PA,3.FT,3.FTA,3.ORB,3.DRB,3.TRB,3.AST,3.STL,3.BLK,3.TOV,3.PF,3.PTS,4.FG,4.FGA,4.3P,4.3PA,4.2P,4.2PA,4.FT,4.FTA,4.ORB,4.DRB,4.TRB,4.AST,4.STL,4.BLK,4.TOV,4.PF,4.PTS,5.ORtg,5.DRtg,5.PER,5.TS%,5.3PAr,5.FTr,5.ORB%,5.DRB%,5.TRB%,5.AST%,5.STL%,5.BLK%,5.TOV%,5.USG%,5.OWS,5.DWS,5.WS,5.WS/48,5.OBPM,5.DBPM,5.BPM,5.VORP,6.FG+,6.2P+,6.3P+,6.eFG+,6.FT+,6.TS+,6.FTr+,6.3PAr+,6.FG Add,6.TS Add,MVP,MVP Share,Year
24,LeBron James,PF,4,28,MIA,76,76,1,0.804878049,2877,778.4280999999999,1374.6708999999998,104.89456666666665,259.4760333333333,673.5335333333333,1115.1948666666665,408.53673333333336,541.0351333333333,99.3738,518.9520666666666,618.3258666666666,557.5974333333332,132.49839999999998,66.24919999999999,231.8722,110.41533333333332,2070.2875,37.9,10.242474999999999,18.087774999999997,0.565,1.3801916666666665,3.414158333333333,0.406,8.862283333333332,14.673616666666664,0.602,0.603,5.375483333333333,7.118883333333333,0.753,1.30755,6.828316666666666,8.135866666666665,7.336808333333332,1.7433999999999998,0.8716999999999999,3.05095,1.4528333333333332,27.240624999999998,9.6,16.9,1.3,3.2,8.3,13.8,5.0,6.7,1.2,6.4,7.6,6.9,1.6,0.8,2.8,1.4,25.5,14.1,24.9,1.9,4.7,12.2,20.2,7.4,9.8,1.8,9.4,11.2,10.1,2.4,1.2,4.2,2.0,37.5,125,101,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,14.6,4.7,19.3,0.322,9.3,2.4,11.7,9.9,125,125,113.0,121,100,120,146,77.0,288.7,336.6,1,0.998,2012-13
25,Michael Jordan,SG,2,32,CHI,82,82,1,0.87804878,3090,924.3285999999999,1866.4327500000002,112.57848333333334,260.7080666666667,811.7501166666666,1605.7246833333334,551.04205,663.6205333333332,148.12958333333336,396.9872833333334,551.04205,355.51099999999997,183.68068333333335,41.47628333333333,201.45623333333336,195.53105,2518.2029166666666,37.7,11.2723,22.761375,0.495,1.3729083333333334,3.179366666666667,0.427,9.899391666666666,19.582008333333334,0.506,0.525,6.720025000000001,8.092933333333333,0.834,1.8064583333333335,4.841308333333334,6.720025000000001,4.3355,2.2400083333333334,0.5058083333333333,2.4567833333333335,2.384525,30.709791666666668,10.7,21.6,1.3,3.0,9.4,18.5,6.4,7.7,1.7,4.6,6.3,4.1,2.1,0.5,2.3,2.3,29.0,15.6,31.5,1.9,4.4,13.7,27.1,9.3,11.2,2.5,6.7,9.3,6.0,3.1,0.7,3.4,3.3,42.5,124,100,29.4,0.582,0.141,0.355,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,14.2,6.2,20.4,0.317,8.3,2.2,10.5,9.8,107,104,116.0,105,113,107,108,70.0,97.7,172.3,1,0.986,1995-96
26,Hakeem Olajuwon,C,5,31,HOU,80,80,2,0.707317073,3277,867.56,1640.82,6.286666666666667,18.859999999999996,861.2733333333333,1621.96,377.2,528.08,220.0333333333333,704.1066666666666,924.1399999999999,276.61333333333334,125.73333333333332,289.1866666666666,264.04,282.9,2118.6066666666666,41.0,10.8445,20.51025,0.528,0.07858333333333334,0.23574999999999996,0.421,10.765916666666666,20.2745,0.529,0.53,4.715,6.601,0.716,2.7504166666666663,8.801333333333332,11.551749999999998,3.457666666666667,1.5716666666666665,3.614833333333333,3.3005,3.53625,26.482583333333334,9.8,18.6,0.1,0.2,9.7,18.4,4.3,6.0,2.5,8.0,10.5,3.2,1.4,3.3,3.0,3.2,24.0,13.8,26.1,0.1,0.3,13.7,25.8,6.0,8.4,3.5,11.2,14.7,4.4,2.0,4.6,4.2,4.5,33.7,109,95,25.3,0.565,0.011,0.32,8.2,23.3,16.2,16.4,2.0,5.7,12.3,29.8,6.4,7.9,14.3,0.21,3.5,3.3,6.8,7.3,113,109,126.0,109,97,107,101,10.0,152.0,144.1,1,0.88,1993-94
27,Charles Barkley,PF,4,29,PHO,76,76,1,0.756097561,2859,657.2479999999999,1265.2024000000001,60.247733333333336,202.6514666666667,597.0002666666667,1062.5509333333332,410.78000000000003,536.7525333333333,219.08266666666668,635.3397333333332,854.4224,356.0093333333333,109.54133333333334,65.7248,213.6056,180.7432,1791.0008000000003,37.6,8.648,16.6474,0.52,0.7927333333333334,2.666466666666667,0.305,7.855266666666667,13.980933333333333,0.561,0.545,5.405,7.0625333333333336,0.765,2.8826666666666667,8.359733333333333,11.2424,4.684333333333333,1.4413333333333334,0.8648,2.8106,2.3782,23.565800000000003,9.0,17.3,0.8,2.8,8.2,14.6,5.6,7.3,3.0,8.7,11.7,4.8,1.5,0.9,2.9,2.5,24.5,12.0,23.1,1.1,3.7,10.9,19.4,7.5,9.8,4.0,11.6,15.6,6.5,2.0,1.2,3.9,3.3,32.7,120,103,25.9,0.596,0.16,0.423,9.5,26.3,18.1,21.2,2.0,1.6,12.5,26.9,9.6,4.8,14.4,0.242,6.3,1.4,7.8,7.1,110,115,91.0,111,101,111,131,153.0,148.4,193.4,1,0.852,1992-93
28,David Robinson,C,5,29,SAS,81,81,1,0.756097561,3074,766.9349999999998,1445.3775,5.8995,17.6985,761.0355000000001,1427.6789999999999,637.146,825.93,230.08049999999997,625.347,855.4275,230.08049999999997,129.78900000000002,253.67849999999996,224.18099999999998,224.18099999999998,2176.9154999999996,38.0,9.468333333333332,17.844166666666666,0.53,0.07283333333333333,0.21849999999999997,0.3,9.3955,17.625666666666664,0.533,0.532,7.866,10.196666666666665,0.774,2.8404999999999996,7.720333333333333,10.560833333333333,2.8404999999999996,1.6023333333333334,3.131833333333333,2.7676666666666665,2.7676666666666665,26.875499999999995,9.2,17.4,0.1,0.2,9.2,17.2,7.7,9.9,2.7,7.5,10.3,2.8,1.6,3.1,2.7,2.7,26.2,13.0,24.5,0.1,0.3,12.9,24.2,10.8,14.0,3.9,10.6,14.5,3.9,2.2,4.3,3.8,3.8,36.9,120,99,29.1,0.602,0.013,0.57,9.1,22.6,16.2,13.7,2.2,5.9,11.1,29.9,10.7,6.7,17.5,0.273,6.0,3.2,9.2,8.7,114,109,84.0,106,105,111,171,7.0,95.5,218.9,1,0.858,1994-95
29,Karl Malone,PF,4,33,UTA,82,82,2,0.780487805,2998,885.8542,1604.8917,0.0,11.5046,885.8542,1593.3871000000001,534.9639000000001,707.5329,195.5782,632.753,828.3312000000001,373.8995,115.046,51.770700000000005,235.8443,224.33970000000002,2300.92,36.6,10.8031,19.571849999999998,0.55,0.0,0.1403,0.0,10.8031,19.43155,0.555,0.55,6.523950000000001,8.62845,0.755,2.3851,7.7165,10.101600000000001,4.55975,1.403,0.6313500000000001,2.87615,2.73585,28.060000000000002,10.4,18.9,0.0,0.2,10.4,18.7,6.3,8.3,2.3,7.4,9.7,4.4,1.4,0.6,2.8,2.6,27.0,15.4,27.9,0.0,0.2,15.4,27.7,9.3,12.3,3.4,11.0,14.4,6.5,2.0,0.9,4.1,3.9,40.0,118,101,28.9,0.6,0.008,0.439,8.5,24.2,16.8,24.5,2.0,1.3,11.1,32.7,11.6,5.1,16.7,0.268,7.1,1.2,8.3,7.8,121,115,,112,102,112,137,4.0,179.1,240.9,1,0.857,1996-97
